"estimator","variable","estimate","stderr","convergence","setup_id","sample_id","sigma","cutoff","u_dist","x_dist"
"tsgauss","mu_x",0.0221342642228495,0.0471644576844928,0,1,51,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03577700481787,0.0342411137848401,0,1,51,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05462933504438,0.0333503078596908,0,1,51,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.24716659079609,0.028983647450116,0,1,52,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.023734575280991,0.0456823452201187,0,1,52,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.991134203223403,0.033946929559338,0,1,52,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.02148829283798,0.0323022960856508,0,1,52,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.187054616801623,0.0223489842931333,0,1,53,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0267373641257219,0.0454327987541103,0,1,53,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.998539018591131,0.0332207321569204,0,1,53,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01590826422258,0.0321258400873151,0,1,53,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.181491768642259,0.0283388014166215,0,1,54,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0255346326210641,0.0469980848149941,0,1,54,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03511870143177,0.0339029550921494,0,1,54,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05090912458627,0.0332326644754629,0,1,54,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.182195913767984,0.0298113857490751,0,1,55,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0404917708017278,0.0434967523651059,0,1,55,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.955399592925349,0.0319486419387137,0,1,55,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.972616950888516,0.0307568485569584,0,1,55,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.17361211421909,0.0232312930562431,0,1,56,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0068036652859231,0.0462800969037943,0,1,56,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.02018749184092,0.0332536130580536,0,1,56,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03485442682162,0.0327249703546435,0,1,56,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.186201305625268,0.0273827166614008,0,1,57,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0436181757865251,0.0449409777773989,0,1,57,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.987509400247804,0.0326093305585845,0,1,57,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00491081285571,0.0317780701395527,0,1,57,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.168639004177438,0.0237781633975126,0,1,58,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0528490576390752,0.0471492495166962,0,1,58,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.0407145387972,0.0338711505019028,0,1,58,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05428927007432,0.0333395540611124,0,1,58,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.206142444383191,0.0278627928879155,0,1,59,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0482853165816269,0.0452094491808639,0,1,59,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.989672895578271,0.0327085376858639,0,1,59,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01091401593734,0.0319679080894974,0,1,59,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.169566680141909,0.0301439252818216,0,1,60,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0754792591116323,0.0495158919252767,0,1,60,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.09414757577006,0.0356657979508168,0,1,60,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.10720900311452,0.0350130229568633,0,1,60,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.169955020514839,0.0262810060068002,0,1,61,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0202786924751067,0.0450785278187866,0,1,61,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.993555295973184,0.0323050250261113,0,1,61,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00798652528422,0.0318753327065705,0,1,61,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.216878973233465,0.0248934727956804,0,1,62,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00676131648591274,0.0446559482582397,0,1,62,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.974700142808283,0.0324328203893482,0,1,62,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.998537359051372,0.0315765238337169,0,1,62,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.137515015844303,0.023559793460535,0,1,63,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0957523183339872,0.0467854004448715,0,1,63,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03707592191258,0.0336094537223278,0,1,63,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.04615335749281,0.0330822739150967,0,1,63,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.188226125739245,0.0259561091643881,0,1,64,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0646345932931674,0.0471921481477632,0,1,64,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03832574319883,0.0341732912556074,0,1,64,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05524851262639,0.0333698879740436,0,1,64,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.187641271644366,0.0230845817917152,0,1,65,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0761192390798062,0.0453341606447394,0,1,65,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.996184628398374,0.0330399407619364,0,1,65,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01370264904533,0.0320560924112956,0,1,65,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.169288985624217,0.0257387508244013,0,1,66,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0280621448674252,0.0487851171793482,0,1,66,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.07765257316433,0.0348935184116551,0,1,66,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.09086838303315,0.0344962871784975,0,1,66,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.219727505820482,0.0309412764263194,0,1,67,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.00188925276372383,0.0433544281560489,0,1,67,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.944204979628319,0.0327629088570899,0,1,67,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.969434484825563,0.0306562101436072,0,1,67,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.220559126251904,0.0268743653113085,0,1,68,0.2,1,"gauss","gauss"
